iter	Logloss
0	0.657673732
1	0.6286354475
2	0.6019376631
3	0.5759260802
4	0.5533334391
5	0.5330144488
6	0.514348346
7	0.5001000305
8	0.4870302847
9	0.4772832452
10	0.4649120588
11	0.4528391151
12	0.4430809827
13	0.4341400256
14	0.427595714
15	0.4217856731
16	0.4156754434
17	0.4098473036
18	0.4036972757
19	0.400208371
20	0.3954888622
21	0.3911957237
22	0.3879237625
23	0.3837477075
24	0.3806820836
25	0.3779400992
26	0.3736898484
27	0.3698782771
28	0.3673305884
29	0.3644532028
30	0.3619204263
31	0.3592560192
32	0.357130468
33	0.3550488019
34	0.3527785081
35	0.3507321883
36	0.348813315
37	0.3471616195
38	0.3454873004
39	0.3437504379
40	0.3422221506
41	0.3407195765
42	0.3392166132
43	0.3376724164
44	0.3362664914
45	0.3349136468
46	0.3334544468
47	0.3320804625
48	0.3311707248
49	0.3298369279
50	0.3284872457
51	0.3274692552
52	0.3267512103
53	0.3258724159
54	0.3246850644
55	0.3233869544
56	0.3223883765
57	0.3212784318
58	0.3205380552
59	0.3193072809
60	0.3184260296
61	0.3172887663
62	0.3164330578
63	0.3157197079
64	0.3148103838
65	0.3139332436
66	0.3133091719
67	0.3126164266
68	0.3119134154
69	0.3111394926
70	0.3104069977
71	0.3095996259
72	0.3089991266
73	0.308127168
74	0.3074718854
75	0.3067207808
76	0.3062687703
77	0.3054850682
78	0.3046789857
79	0.3038369487
80	0.3030530033
81	0.3022810509
82	0.3018624164
83	0.3013677616
84	0.3006057587
85	0.3001393713
86	0.2996289286
87	0.2991160776
88	0.2986527554
89	0.2981196647
90	0.2976359568
91	0.2971386505
92	0.2966827721
93	0.2959386492
94	0.2953047982
95	0.2947722428
96	0.2941029481
97	0.293546577
98	0.2929579004
99	0.2924363892
100	0.292043638
101	0.2917336456
102	0.291291755
103	0.2907889508
104	0.2904464825
105	0.290018385
106	0.2896238823
107	0.2892278228
108	0.2887615814
109	0.2883051191
110	0.2878697723
111	0.2873847995
112	0.2870505049
113	0.2866218479
114	0.2863018816
115	0.2857499379
116	0.2852616323
117	0.2848280857
118	0.2844702917
119	0.2839536458
120	0.2834660943
121	0.2831586562
122	0.2827074485
123	0.2822606439
124	0.2819342068
125	0.2815840027
126	0.2812850788
127	0.2809353126
128	0.2805903143
129	0.2801620465
130	0.2799132839
131	0.2795494326
132	0.2792177166
133	0.2788173513
134	0.2784968255
135	0.2781976584
136	0.2778035206
137	0.277479881
138	0.2772004183
139	0.2769305889
140	0.2765466683
141	0.2762750144
142	0.2760019496
143	0.2756389255
144	0.2754644802
145	0.2751979592
146	0.2747328854
147	0.2744385349
148	0.2738851803
149	0.2736108992
150	0.2732888652
151	0.2729832758
152	0.2727345132
153	0.2724761659
154	0.2721971897
155	0.2718642088
156	0.2716177815
157	0.2712176594
158	0.2707747714
159	0.2705191973
160	0.270198185
161	0.2699177249
162	0.2696980081
163	0.2694084012
164	0.2690849076
165	0.2687605869
166	0.2684360715
167	0.2680994659
168	0.2678332125
169	0.2676303783
170	0.2672479659
171	0.2669392871
172	0.2666493154
173	0.2664135431
174	0.2660889061
175	0.2657481164
176	0.265432018
177	0.2650780433
178	0.2648421493
179	0.2645663113
180	0.2642281731
181	0.263824694
182	0.2635818913
183	0.2633231305
184	0.2629891278
185	0.2626723483
186	0.2623967535
187	0.2621136175
188	0.2617991247
189	0.2614334003
190	0.2610426196
191	0.2606807874
192	0.260375636
193	0.2599944886
194	0.2596113464
195	0.2593309107
196	0.2590249321
197	0.2587365659
198	0.2583671439
199	0.2579541531
